price,base,bed,bath,floor,lot,age,shopping,app,ubc,dt
4875,1,5,6,4914,15624,96,0,1,2.3,8.3
870,1,4,2,1850,5516,100,1,0,10.6,5.8
988.8,0,2,1,810,4537.5,69,0,1,10.9,3.4
1180,0,2,1,950,6840,100,0,0,9.4,5.1
1198,1,7,3,2590,4537.5,100,1,0,10.4,3.1
1450,1,5,5,2700,4537.5,100,0,0,10.5,3
1538,1,6,4,2940,4900.5,16,1,1,10,3.5
1588,1,3,2,2200,7027,58,1,1,10.9,4.9
1599,1,6,5,2576,4023,86,1,1,10.1,2.9
1749,0,4,4,2446,4026,17,1,1,9.2,3.7
1788,1,6,4,2800,4026,5,1,1,8.5,3.3
1788,0,7,7,5710,8748,23,0,0,10.2,4.2
1828,1,5,4,3170,5290,20,0,1,11.5,5.4
1950,1,6,6,4196,6996,15,1,1,9.8,3.8
1988,1,5,5,3670,5125,5,1,1,10.1,4.1
1998,1,6,5,3183,4392,1,0,11,9.9,4.3
2088,1,7,6,4865,8120,17,0,0,9.6,4.3
2488,1,6,6,3590,6000,6,0,0,11.5,5.7
968,1,4,3,2025,4219,89,1,0,7.5,7.3
1288,1,3,2,1800,3960,100,1,1,7.1,8.5
1398,1,7,3,3040,4840,40,0,0,6.3,9
1480,0,5,5,3022,6100,34,0,1,5.8,9.4
1499,1,3,2,1996,9001,100,0,0,6.1,8.8
1798,1,3,2,2014,10833,59,0,0,6.1,9.6
2050,1,3,4,2814,4026,1,1,1,7.3,7.5
2288,1,4,5,3580,6280,5,0,0,6.6,8.4
2288,1,4,4,2487,4151,1,1,1,7.3,8.7
2388,1,6,5,2930,4800,2,1,1,7.1,8.8
2498,0,4,3,2511,11035.6,69,1,1,6.5,9.4
2688,1,5,5,4495,7488,16,1,1,5.8,9.4
2688,1,5,5,3150,5372.4,63,0,0,7.3,8.8
2898,0,5,4,3270,16200,60,1,1,6.3,9.4
3850,1,6,6,4699,6853.9,1,0,0,6.6,8.7
3888,1,4,5,3933,7150,25,0,1,6.8,8.8
3998,1,5,5,5020,17883.6,46,0,0,6.1,9.6
4950,1,6,7,6760,14742,1,1,1,6.5,9.3
4998,1,5,8,9692,22695,12,1,1,6.6,9.2
5498,1,6,6,7729,22230,2,0,0,6.8,9
1268,1,5,2,2808,6000,53,1,1,12.3,7.3
1538.8,1,7,6,4668,7800,16,1,1,10.2,7
1590,0,6,5,3195,7830,57,1,1,10.3,7
1688,1,4,4,3542,6954,51,1,1,10.9,6.8
1738,1,4,3,3188,8232.5,50,1,0,10.8,7.1
2198,0,4,2,2006,8700,58,0,0,10.5,7
2280,0,9,6,2791,6960,1,0,0,10.3,6.6
2780,1,6,6,4170,6960,3,0,1,10.8,7.1
989,1,5,2,1930,3985.7,63,1,0,11.2,6.5
1088,0,6,4,3080,5156,31,0,0,11.3,6.6
1398,1,5,5,2411,4026,7,0,1,11.5,6.6
1688,1,3,3,2198,7331,48,1,0,9.7,6
1788,1,5,5,3200,7224.6,48,1,1,9.8,6.5
1800,1,5,5,3319,5551.6,3,0,1,10.9,6.2
2998,1,7,8,4451,7366,1,1,1,9.9,6.5
679.9,1,4,2,1658,2174,100,1,0,10.5,4.1
738,1,3,2,2084,4026,61,0,0,11.1,6.3
750,1,6,3,1680,2750,100,1,1,10.5,4.5
769,1,4,2,1530,4712,70,0,0,12,7.1
788,0,4,2,1900,4218,100,0,0,11.9,5.2
798,1,5,2,1900,2561,31,0,1,10.4,4.4
799,1,6,3,2634,4224,97,1,1,11.5,5.3
799,1,4,4,2523,4032,110,0,0,13,6.9
799,1,5,2,1660,4026,57,0,0,11,6.3
819,1,5,3,1972,3345,2,1,0,11.2,6.2
849,1,5,3,2338,3712,30,1,1,11.8,7
